team,player_name,conc_player_name,position,games_played,games_started,minutes_played,goals,accurate_pass_percentage,assists,total_scoring_attempts,on_target_scoring_attempts,total_attacking_assists,tackles,fouls_committed,fouls_suffered,total_offside,yellow_cards,red_cards,accurate_passes,total_passes,crosses,assists_avg_over_90_mins,long_balls,successful_short_passes,turnovers,goals_avg_over_90_mins,penalty_kick_goals,penalty_kick_taken,penalty_kick_percentage,accurate_shooting_percentage,successful_dribble,dribble_percentage,goals_and_assists,tackles,tackles_percentage,interceptions,headed_duel,gk_saves,gk_long_ball_percentage,gk_total_clearance
Utah Royals FC,Agnes Nyberg,AGNESNYBERG,MIDFIELDER,6,5,429,0,69,0,2,0,0,7,12,5,0,2,0,95,137,3,0,6,89,63,0,0,0,0,0,1,50,0,7,54,4,5,,,
NJ/NY Gotham FC,Kelley O'Hara,KELLEYO'HARA,DEFENDER,2,1,80,0,77,0,0,0,0,0,0,1,0,0,0,27,35,3,0,2,25,13,0,0,0,0,0,0,0,0,0,0,1,3,,,
North Carolina Courage,Denise O'Sullivan,DENISEO'SULLIVAN,MIDFIELDER,9,9,778,0,87,0,1,0,0,14,10,19,2,1,0,418,481,3,0,6,412,116,0,0,0,0,0,8,53,0,14,47,19,22,,,
Portland Thorns,Isabella Obaze,ISABELLAOBAZE,DEFENDER,6,5,447,0,92,2,1,0,2,3,4,0,0,1,0,230,251,3,0.4,8,222,24,0,0,0,0,0,0,0,2,3,33,7,11,,,
Utah Royals FC,Ifeoma Onumonu,IFEOMAONUMONU,FORWARD,3,,70,0,59,0,1,1,0,1,0,0,0,0,0,13,22,3,0,1,12,15,0,0,0,0,100,0,0,0,1,50,1,5,,,
Houston Dash,Diana Ordóñez,DIANAORDÓÑEZ,FORWARD,11,10,880,4,64,0,17,10,0,5,16,6,0,1,0,136,211,3,0,4,131,137,0.41,0,1,0,59,9,64,4,5,56,2,44,,,
Bay FC,Asisat Oshoala,ASISATOSHOALA,FORWARD,10,9,755,2,64,1,13,3,1,7,12,7,3,1,0,106,165,3,0.12,3,103,126,0.24,0,0,0,23,3,23,3,7,54,2,26,,,
Houston Dash,Avery Patterson,AVERYPATTERSON,FORWARD,11,9,828,0,73,1,4,1,1,13,8,16,2,1,0,203,277,3,0.11,13,189,176,0,0,0,0,25,10,42,1,13,54,9,28,,,
Portland Thorns,Nicole Payne,NICOLEPAYNE,DEFENDER,5,3,306,0,78,0,1,0,0,6,1,4,0,0,0,91,116,3,0,1,88,56,0,0,0,0,0,2,33,0,6,67,3,1,,,
Seattle Reign,Maia Pérez,MAIAPÉREZ,GOALKEEPER,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Houston Dash,Courtney Petersen,COURTNEYPETERSEN,DEFENDER,10,8,789,0,77,0,0,0,0,5,2,2,0,1,0,309,403,3,0,17,290,132,0,0,0,0,0,4,80,0,5,50,11,8,,,
Kansas City Current,Alex Pfeiffer,ALEXPFEIFFER,FORWARD,7,,101,1,63,0,1,1,0,1,2,1,0,0,0,26,41,3,0,1,25,27,0.89,0,0,0,100,3,43,1,1,33,0,0,,,
Angel City FC,Casey Phair,CASEYPHAIR,FORWARD,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Bay FC,Kiki Pickett,KIKIPICKETT,DEFENDER,5,3,299,0,81,1,1,0,1,1,4,3,0,0,0,99,122,3,0.3,7,92,34,0,0,0,0,0,2,100,1,1,20,3,7,,,
Racing Louisville FC,Carson Pickett,CARSONPICKETT,DEFENDER,10,10,900,0,77,1,3,1,1,8,4,1,0,0,0,349,456,3,0.1,28,313,170,0,0,0,0,33,3,60,1,8,62,13,7,,,
North Carolina Courage,Victoria Pickett,VICTORIAPICKETT,MIDFIELDER,10,2,258,0,80,1,1,0,1,6,3,9,6,1,0,57,71,3,0.35,0,56,38,0,0,0,0,0,1,12,1,6,75,4,4,,,
Racing Louisville FC,Elli Pikkujämsä,ELLIPIKKUJÄMSÄ,DEFENDER,3,3,252,0,85,0,1,0,0,2,1,0,0,0,0,110,129,3,0,15,94,24,0,0,0,0,0,0,0,0,2,50,5,2,,,
North Carolina Courage,Brianna Pinto,BRIANNAPINTO,MIDFIELDER,11,5,450,1,77,1,7,3,1,2,10,7,1,0,0,112,145,3,0.2,5,107,60,0.2,0,0,0,43,5,62,2,2,67,3,12,,,
Utah Royals FC,Madison Pogarch,MADISONPOGARCH,DEFENDER,10,10,870,0,70,0,0,0,0,8,10,23,0,2,0,278,398,3,0,16,261,190,0,0,0,0,0,11,48,0,8,67,11,10,,,
Racing Louisville FC,Madalyn Pokorny,MADALYNPOKORNY,MIDFIELDER,4,,8,0,33,0,0,0,0,0,1,0,0,0,0,3,9,3,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,,,
Kansas City Current,Nichelle Prince,NICHELLEPRINCE,FORWARD,2,,63,0,71,0,3,1,0,1,0,0,2,0,0,10,14,3,0,0,10,7,0,0,0,0,33,0,0,0,1,33,2,1,,,
Bay FC,Lysianne Proulx,LYSIANNEPROULX,GOALKEEPER,6,6,540,0,87,0,0,0,0,0,0,1,0,0,0,199,230,3,0,23,176,32,0,0,0,0,0,1,100,0,0,0,0,2,26,43,9
Houston Dash,Sarah Puntigam,SARAHPUNTIGAM,MIDFIELDER,9,9,766,0,79,1,5,0,1,9,12,9,0,3,0,347,440,3,0.12,32,314,112,0,0,0,0,0,1,50,1,9,56,5,17,,,
NJ/NY Gotham FC,Midge Purce,MIDGEPURCE,FORWARD,1,1,45,0,67,0,1,1,0,0,1,1,0,1,0,10,15,3,0,0,10,10,0,0,0,0,100,3,75,0,0,0,1,2,,,
Seattle Reign, Quinn,QUINN,MIDFIELDER,5,3,248,0,80,0,1,0,0,5,4,6,0,0,0,136,171,3,0,5,131,44,0,0,0,0,0,2,67,0,5,62,1,6,,,
Orlando Pride, Rafaelle,RAFAELLE,DEFENDER,7,6,556,0,88,0,3,1,0,2,3,0,0,1,0,258,292,3,0,27,231,42,0,0,0,0,33,1,50,0,2,22,8,20,,,
Chicago Red Stars,Maximiliane Rall,MAXIMILIANERALL,DEFENDER,9,9,801,1,69,0,5,2,0,15,6,4,0,0,0,226,329,3,0,15,210,160,0.11,0,0,0,40,3,30,1,15,62,9,27,,,
Washington Spirit,Brittany Ratcliffe,BRITTANYRATCLIFFE,FORWARD,11,2,261,3,79,0,4,3,0,4,0,4,1,0,0,55,70,3,0,2,52,38,1.03,0,0,0,75,5,38,3,4,57,2,5,,,
North Carolina Courage,Feli Rauch,FELIRAUCH,DEFENDER,11,11,952,0,82,0,5,2,0,14,17,9,0,1,0,477,584,3,0,10,464,178,0,0,0,0,40,2,33,0,14,58,10,21,,,
Angel City FC,Megan Reid,MEGANREID,DEFENDER,7,7,630,0,87,0,2,1,0,6,3,3,0,2,0,330,378,3,0,16,314,58,0,0,0,0,50,0,0,0,6,100,4,22,,,
Portland Thorns,Reyna Reyes,REYNAREYES,DEFENDER,11,8,651,0,79,0,1,1,0,15,10,12,0,2,0,307,387,3,0,10,295,131,0,0,0,0,100,5,56,0,15,65,14,15,,,
Washington Spirit,Chloe Ricketts,CHLOERICKETTS,MIDFIELDER,4,,18,0,71,0,0,0,0,2,1,1,0,0,0,12,17,3,0,0,12,12,0,0,0,0,0,1,25,0,2,67,0,1,,,
Utah Royals FC,Kaleigh Riehl,KALEIGHRIEHL,DEFENDER,4,4,360,0,89,1,0,0,1,2,1,1,0,0,0,220,248,3,0.25,13,207,35,0,0,0,0,0,0,0,1,2,50,3,6,,,
Angel City FC,Ali Riley,ALIRILEY,DEFENDER,5,3,262,0,71,0,0,0,0,2,2,3,0,0,0,66,93,3,0,1,65,42,0,0,0,0,0,0,0,0,2,100,4,3,,,
Kansas City Current,Gabrielle Robinson,GABRIELLEROBINSON,DEFENDER,10,10,900,1,85,0,4,3,0,16,9,9,0,2,0,431,508,3,0,28,403,87,0.1,0,0,0,75,3,75,1,16,80,15,32,,,
Chicago Red Stars,Cari Roccaro,CARIROCCARO,MIDFIELDER,11,11,981,0,78,0,3,1,0,9,10,8,0,2,0,264,339,3,0,17,247,90,0,0,0,0,33,5,71,0,9,69,9,11,,,
Washington Spirit,Trinity Rodman,TRINITYRODMAN,FORWARD,10,10,846,3,64,4,22,15,4,19,11,25,4,3,0,162,254,3,0.43,4,151,191,0.32,0,0,0,68,26,51,7,19,70,13,22,,,
Kansas City Current,Izzy Rodriguez,IZZYRODRIGUEZ,DEFENDER,8,8,681,1,68,1,7,2,1,11,6,7,0,1,0,281,412,3,0.13,25,252,189,0.13,0,0,0,29,3,60,2,11,73,19,16,,,
Angel City FC,Rocky Rodríguez Cedeño,ROCKYRODRÍGUEZ CEDEÑO,MIDFIELDER,8,7,629,0,77,0,4,2,0,10,17,12,0,2,0,268,346,3,0,11,257,105,0,0,0,0,50,5,45,0,10,53,10,14,,,
Utah Royals FC,Cristina Roque,CRISTINAROQUE,GOALKEEPER,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bay FC,Katelyn Rowland,KATELYNROWLAND,GOALKEEPER,5,5,450,0,81,0,0,0,0,0,0,0,0,0,0,145,180,3,0,7,138,37,0,0,0,0,0,0,0,0,0,0,0,3,16,18,6
Houston Dash,Elin Rubensson,ELINRUBENSSON,MIDFIELDER,7,6,494,0,80,0,4,2,0,14,10,5,0,2,0,146,182,3,0,7,139,59,0,0,0,0,50,5,62,0,14,74,9,5,,,
NJ/NY Gotham FC,Yazmeen Ryan,YAZMEENRYAN,MIDFIELDER,10,8,709,0,71,2,11,5,2,13,15,10,0,1,0,195,275,3,0.25,8,187,175,0,0,0,0,45,11,41,2,13,87,5,20,,,
Orlando Pride,Emily Sams,EMILYSAMS,DEFENDER,10,10,900,1,88,1,1,1,1,8,10,12,0,1,0,441,502,3,0.1,31,409,81,0.1,0,0,0,100,2,40,2,8,35,10,12,,,
North Carolina Courage,Ashley Sanchez,ASHLEYSANCHEZ,FORWARD,11,11,943,1,81,3,21,12,3,7,4,11,2,0,0,295,365,3,0.29,15,274,178,0.1,0,0,0,57,20,53,4,7,58,6,7,,,
Houston Dash,María Sánchez,MARÍASÁNCHEZ,FORWARD,20,14,1352,0,69,2,20,6,2,14,4,26,0,0,0,316,458,3,0.13,16,290,368,0,0,0,0,30,14,25,2,14,70,38,36,,,
Washington Spirit,Ouleymata Sarr,OULEYMATASARR,FORWARD,11,11,772,6,67,2,25,15,2,6,10,12,7,0,0,134,200,3,0.23,4,127,133,0.7,0,0,0,60,5,62,8,6,67,2,33,,,
Portland Thorns,Becky Sauerbrunn,BECKYSAUERBRUNN,DEFENDER,10,10,872,0,91,0,2,0,0,6,3,4,0,0,0,563,621,3,0,19,544,63,0,0,0,0,0,0,0,0,6,86,12,12,,,
Chicago Red Stars,Allison Schlegel,ALLISONSCHLEGEL,FORWARD,11,10,753,4,65,0,11,6,0,9,10,6,0,0,0,135,209,3,0,4,130,106,0.48,0,0,0,55,4,67,4,9,56,5,88,,,
Houston Dash,Sophie Schmidt,SOPHIESCHMIDT,MIDFIELDER,10,10,840,0,83,0,3,2,0,24,11,11,1,2,0,353,424,3,0,31,322,92,0,0,0,0,67,1,33,0,24,67,19,23,,,
Chicago Red Stars,Sydney Schneider,SYDNEYSCHNEIDER,GOALKEEPER,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas City Current,Desiree Scott,DESIREESCOTT,MIDFIELDER,1,,1,0,50,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,
Racing Louisville FC,Emma Sears,EMMASEARS,FORWARD,10,4,540,3,60,0,16,10,0,8,11,1,4,1,0,81,136,3,0,3,71,141,0.5,0,0,0,62,19,40,3,8,57,7,18,,,
Racing Louisville FC,Olivia Sekany,OLIVIASEKANY,GOALKEEPER,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah Royals FC,Ally Sentnor,ALLYSENTNOR,FORWARD,10,10,890,2,76,2,21,12,2,8,13,15,4,2,0,190,250,3,0.2,17,169,166,0.2,0,0,0,57,18,39,4,8,42,5,6,,,
Bay FC,Kayla Sharples,KAYLASHARPLES,DEFENDER,10,9,815,2,86,0,7,3,0,9,3,3,0,2,0,413,483,3,0,27,386,84,0.22,0,0,0,43,0,0,2,9,69,11,26,,,
San Diego Wave FC,Jaedyn Shaw,JAEDYNSHAW,FORWARD,9,6,537,2,69,1,10,6,1,7,4,14,1,0,0,111,160,3,0.17,4,105,96,0.34,1,1,100,60,5,31,3,7,88,2,29,,,
NJ/NY Gotham FC,Delanie Sheehan,DELANIESHEEHAN,MIDFIELDER,10,10,839,0,76,0,7,1,0,8,16,7,0,2,0,305,399,3,0,9,294,178,0,0,0,0,14,12,48,0,8,53,8,14,,,
Bay FC,Jamie Shepherd,JAMIESHEPHERD,MIDFIELDER,2,2,156,0,88,0,0,0,0,0,2,3,0,0,0,51,58,3,0,5,46,9,0,0,0,0,0,0,0,0,0,0,0,7,,,
San Diego Wave FC,Kailen Sheridan,KAILENSHERIDAN,GOALKEEPER,10,10,900,0,80,0,0,0,0,0,0,0,0,0,0,366,456,3,0,73,293,92,0,0,0,0,0,0,0,0,0,0,0,2,31,47,1
Portland Thorns,Marissa  Sheva,MARISSASHEVA,MIDFIELDER,3,,16,0,90,1,1,1,1,0,2,0,0,0,0,9,10,3,5.62,0,9,4,0,0,0,0,100,0,0,1,0,0,1,0,,,
Washington Spirit,Lena Silano,LENASILANO,FORWARD,5,,42,1,47,0,1,1,0,0,4,0,2,0,0,7,15,3,0,1,6,12,2.14,0,0,0,100,1,100,1,0,0,0,3,,,
Kansas City Current,Jordan Silkowitz,JORDANSILKOWITZ,GOALKEEPER,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portland Thorns,Christine Sinclair,CHRISTINESINCLAIR,FORWARD,10,6,422,2,69,1,9,6,1,3,4,2,2,1,0,124,179,3,0.21,3,120,72,0.43,0,0,0,67,3,60,3,3,50,2,28,,,
Portland Thorns,Sophia Smith,SOPHIASMITH,FORWARD,10,10,880,8,73,6,33,21,6,7,12,18,5,1,0,132,180,3,0.61,6,124,190,0.82,1,1,100,64,21,44,14,7,58,2,2,,,
Seattle Reign,Ji So-Yun,JISO-YUN,MIDFIELDER,11,10,895,1,83,3,15,8,3,10,11,9,1,1,0,412,497,3,0.3,16,394,165,0.1,0,0,0,53,15,56,4,10,62,3,32,,,
Houston Dash,Havana Solaun,HAVANASOLAUN,MIDFIELDER,3,1,118,1,78,0,1,1,0,1,2,1,0,1,0,50,64,3,0,1,49,18,0.76,0,0,0,100,3,60,1,1,33,0,3,,,
NJ/NY Gotham FC,Emily Sonnett,EMILYSONNETT,DEFENDER,10,10,860,0,85,0,2,0,0,7,11,7,0,3,0,376,441,3,0,16,360,84,0,0,0,0,0,4,67,0,7,78,8,18,,,
Houston Dash,Croix Soto,CROIXSOTO,DEFENDER,1,,27,0,80,0,0,0,0,1,0,0,0,0,0,4,5,3,0,0,4,2,0,0,0,0,0,0,0,0,1,33,0,0,,,
Kansas City Current,Alexa Spaanstra,ALEXASPAANSTRA,FORWARD,9,8,573,1,69,1,10,7,1,4,3,5,0,0,0,117,170,3,0.16,4,111,98,0.16,0,0,0,70,2,11,2,4,44,2,7,,,
North Carolina Courage,Meredith Speck,MEREDITHSPECK,MIDFIELDER,2,,7,0,100,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Angel City FC,Jasmyne Spencer,JASMYNESPENCER,FORWARD,9,6,598,0,82,0,4,4,0,14,10,12,1,2,0,148,180,3,0,5,143,97,0,0,0,0,100,10,33,0,14,64,11,8,,,
North Carolina Courage,Bianca St-Georges,BIANCAST-GEORGES,FORWARD,11,3,352,2,70,0,3,2,0,9,14,4,0,2,0,86,123,3,0,0,82,93,0.51,0,0,0,67,2,17,2,9,75,2,12,,,
Chicago Red Stars,Sam Staab,SAMSTAAB,DEFENDER,11,11,990,0,74,2,5,3,2,4,8,1,1,2,0,365,491,3,0.18,42,321,228,0,0,0,0,60,8,80,2,4,44,9,29,,,
Washington Spirit,Heather Stainbrook,HEATHERSTAINBROOK,MIDFIELDER,1,,4,0,40,0,0,0,0,0,0,0,0,0,0,2,5,3,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,,,
Angel City FC,Hannah Stambaugh,HANNAHSTAMBAUGH,GOALKEEPER,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seattle Reign,Nikki Stanton,NIKKISTANTON,MIDFIELDER,4,,82,0,76,0,0,0,0,1,1,1,0,0,0,28,37,3,0,2,26,14,0,0,0,0,0,0,0,0,1,25,2,5,,,
Kansas City Current,Regan Steigleder,REGANSTEIGLEDER,MIDFIELDER,3,1,71,0,87,0,0,0,0,0,0,0,0,0,0,34,39,3,0,2,31,10,0,0,0,0,0,1,100,0,0,0,2,1,,,
NJ/NY Gotham FC,Katie Stengel,KATIESTENGEL,FORWARD,6,2,283,0,70,0,9,3,0,5,2,2,2,0,0,64,91,3,0,1,63,61,0,0,0,0,33,4,33,0,5,100,1,24,,,
NJ/NY Gotham FC,Ella Stevens,ELLASTEVENS,FORWARD,8,4,340,4,73,1,11,6,1,7,8,5,1,0,0,63,86,3,0.26,0,62,55,1.06,0,0,0,55,7,50,5,7,64,2,17,,,
Orlando Pride,Kylie Strom,KYLIESTROM,DEFENDER,10,10,872,0,85,0,3,0,0,5,7,8,1,1,1,512,603,3,0,21,491,113,0,0,0,0,0,6,67,0,5,50,14,20,,,
Portland Thorns,Hina Sugita,HINASUGITA,MIDFIELDER,11,8,786,1,84,3,3,1,3,18,11,19,1,2,0,333,395,3,0.34,11,322,96,0.11,0,0,0,33,2,20,4,18,60,19,19,,,
Washington Spirit,Andi Sullivan,ANDISULLIVAN,MIDFIELDER,11,11,899,2,82,0,4,2,0,15,13,9,0,2,0,350,429,3,0,21,326,120,0.2,2,2,100,50,6,60,2,15,60,14,26,,,
Chicago Red Stars,Mallory Swanson,MALLORYSWANSON,FORWARD,10,10,884,3,73,2,18,15,2,10,13,18,9,0,0,140,191,3,0.2,5,131,138,0.31,1,2,50,83,15,52,5,10,83,2,12,,,
Utah Royals FC,Frankie Tagliaferri,FRANKIETAGLIAFERRI,MIDFIELDER,5,3,210,0,77,0,1,0,0,3,2,0,0,0,0,51,66,3,0,1,50,26,0,0,0,0,0,2,50,0,3,75,2,3,,,
Washington Spirit,Riley Tanner,RILEYTANNER,FORWARD,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Angel City FC,Gisele Thompson,GISELETHOMPSON,DEFENDER,5,2,177,0,90,0,1,1,0,4,2,3,0,1,0,91,101,3,0,0,91,23,0,0,0,0,100,2,50,0,4,57,3,2,,,
Angel City FC,Alyssa Thompson,ALYSSATHOMPSON,FORWARD,10,10,878,0,76,3,11,3,3,9,11,11,2,1,0,177,233,3,0.31,3,171,142,0,0,0,0,27,16,39,3,9,90,3,7,,,
San Diego Wave FC,Kaitlyn Torpey,KAITLYNTORPEY,DEFENDER,6,1,209,0,70,0,2,1,0,9,1,1,0,0,0,87,125,3,0,4,82,55,0,0,0,0,50,2,50,0,9,69,2,4,,,
NJ/NY Gotham FC,Taryn Torres,TARYNTORRES,MIDFIELDER,5,,27,0,62,0,0,0,0,1,1,1,0,1,0,5,8,3,0,1,4,9,0,0,0,0,0,1,100,0,1,100,0,1,,,
Utah Royals FC,Cameron Tucker,CAMERONTUCKER,FORWARD,8,1,188,1,71,0,4,2,0,0,2,1,3,0,0,24,34,3,0,1,23,31,0.48,0,0,0,50,6,55,1,0,0,1,5,,,
Racing Louisville FC,Reilyn Turner,REILYNTURNER,FORWARD,10,4,440,2,63,2,14,11,2,1,3,7,3,0,0,55,87,3,0.41,3,51,75,0.41,0,0,0,79,2,22,4,1,50,2,22,,,
Seattle Reign,Olivia Van der Jagt,OLIVIAVAN DER JAGT,MIDFIELDER,11,7,636,0,73,0,3,0,0,10,7,6,0,1,0,187,257,3,0,3,184,81,0,0,0,0,0,4,100,0,10,62,9,31,,,
San Diego Wave FC,Emily van Egmond,EMILYVAN EGMOND,MIDFIELDER,10,6,677,1,75,0,6,3,0,8,9,2,0,1,0,258,346,3,0,10,246,117,0.13,0,0,0,50,7,64,1,8,62,5,21,,,
Houston Dash,Kiki van Zanten,KIKIVAN ZANTEN,FORWARD,4,1,107,0,76,0,0,0,0,1,1,2,0,1,0,32,42,3,0,1,31,30,0,0,0,0,0,6,55,0,1,33,0,1,,,
Utah Royals FC,Michele Vasconcelos,MICHELEVASCONCELOS,MIDFIELDER,5,,73,0,86,1,1,0,1,1,1,1,0,0,0,36,42,3,1.23,0,36,13,0,0,0,0,0,3,100,1,1,100,1,0,,,
Angel City FC,Mary Vignola,MARYVIGNOLA,DEFENDER,4,2,172,0,86,0,2,1,0,1,3,0,1,0,0,49,57,3,0,1,47,35,0,0,0,0,50,6,60,0,1,100,1,3,,,
Portland Thorns,Olivia Wade-Katoa,OLIVIAWADE-KATOA,MIDFIELDER,2,,16,0,56,0,0,0,0,1,1,1,0,0,0,5,9,3,0,1,4,8,0,0,0,0,0,0,0,0,1,100,0,0,,,
Orlando Pride,Ally Watt,ALLYWATT,FORWARD,10,6,510,1,68,1,13,8,1,5,6,5,10,0,0,60,88,3,0.18,5,52,64,0.18,0,0,0,62,1,25,2,5,56,3,11,,,
North Carolina Courage,Dani Weatherholt,DANIWEATHERHOLT,MIDFIELDER,9,2,277,1,77,0,1,1,0,13,3,2,0,0,0,130,169,3,0,3,127,56,0.32,0,0,0,100,3,50,1,13,81,4,17,,,
Portland Thorns,Morgan Weaver,MORGANWEAVER,MIDFIELDER,7,6,532,1,64,0,14,7,0,7,5,3,0,0,0,107,168,3,0,8,96,106,0.17,0,0,0,50,6,67,1,7,78,0,16,,,
Seattle Reign,McKenzie Weinert,MCKENZIEWEINERT,FORWARD,4,,25,0,67,0,1,1,0,1,2,0,1,0,0,8,12,3,0,0,8,8,0,0,0,0,100,0,0,0,1,100,1,6,,,
San Diego Wave FC,Kennedy Wesley,KENNEDYWESLEY,DEFENDER,7,6,572,0,83,0,2,0,0,8,4,11,0,1,0,332,402,3,0,25,307,83,0,0,0,0,0,0,0,0,8,73,8,16,,,
Houston Dash,Amanda West,AMANDAWEST,FORWARD,10,6,605,1,73,1,8,5,1,7,2,6,3,0,0,91,124,3,0.15,2,88,93,0.15,0,0,0,62,9,39,2,7,64,2,9,,,
San Diego Wave FC,Christen Westphal,CHRISTENWESTPHAL,DEFENDER,5,5,368,0,73,0,0,0,0,3,2,1,0,1,0,120,165,3,0,6,111,84,0,0,0,0,0,4,57,0,3,60,3,4,,,
Kansas City Current,Ellis Wheeler,ELLISWHEELER,DEFENDER,8,6,549,1,64,0,3,2,0,6,4,5,0,1,0,96,150,3,0,3,90,96,0.16,0,0,0,67,8,89,1,6,50,9,20,,,
Washington Spirit,Kate Wiesner,KATEWIESNER,DEFENDER,8,4,343,0,74,0,1,1,0,9,3,6,1,1,0,110,149,3,0,10,98,61,0,0,0,0,100,4,80,0,9,69,3,7,,,
NJ/NY Gotham FC,Lynn Williams,LYNNWILLIAMS,FORWARD,7,6,511,3,74,0,17,9,0,14,7,2,2,1,0,120,162,3,0,4,113,109,0.53,0,0,0,53,7,50,3,14,74,4,33,,,
North Carolina Courage,Ryan Williams,RYANWILLIAMS,DEFENDER,11,11,990,0,86,0,0,0,0,18,4,3,2,0,0,640,744,3,0,21,612,197,0,0,0,0,0,10,43,0,18,72,25,21,,,
North Carolina Courage,Jenna Winebrenner,JENNAWINEBRENNER,DEFENDER,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Chicago Red Stars,Mackenzie Wood,MACKENZIEWOOD,GOALKEEPER,3,2,208,0,68,0,0,0,0,0,0,0,0,0,0,49,72,3,0,21,28,23,0,0,0,0,0,0,0,0,0,0,0,1,8,49,2
Seattle Reign,Lily Woodham,LILYWOODHAM,DEFENDER,7,5,359,0,76,0,0,0,0,7,4,2,0,0,0,128,169,3,0,3,121,88,0,0,0,0,0,5,71,0,7,70,3,7,,,
Racing Louisville FC,Arin Wright,ARINWRIGHT,DEFENDER,8,7,631,0,89,0,0,0,0,3,3,1,0,1,0,311,350,3,0,20,291,48,0,0,0,0,0,1,50,0,3,75,13,10,,,
Orlando Pride,Summer Yates,SUMMERYATES,FORWARD,10,7,524,3,78,0,11,6,0,7,8,16,0,0,0,98,125,3,0,9,84,102,0.52,1,1,100,55,12,46,3,7,47,1,7,,,
Kansas City Current,Bia Zaneratto,BIAZANERATTO,FORWARD,6,6,436,4,78,3,15,6,3,9,3,10,1,0,0,117,150,3,0.62,1,112,78,0.83,0,0,0,40,10,59,7,9,64,2,17,,,
,null null,NULL NULL,,1,1,90,0,56,0,0,0,0,1,1,3,0,0,0,14,25,3,0,3,11,12,0,0,0,0,0,0,0,0,1,100,3,3,,,
